procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7913636 131108  35940 1043332    0    1    12    13    1    3  2  2 95  1  0 2023-12-07 16:40:21
 0  0 7913636 122804  35948 1049352    0    0     0    10 2442 47326  9  7 83  1  0 2023-12-07 16:40:26
 1  0 7913636 119564  35964 1049836    0    0   169    19 2538 47744 12  7 80  1  0 2023-12-07 16:40:31
 1  0 7913636 122904  35972 1044776    0    0     0    56 2293 30915  6  6 88  0  0 2023-12-07 16:40:36
 1  0 7929504 132212  36000 1039116    1 3178    22  3416 2380 10592  5  4 86  5  0 2023-12-07 16:40:41
 0  0 7929504 135272  36032 1033144    0    0    26    35 2429 45163  8  6 85  1  0 2023-12-07 16:40:46
 0  0 7929504 124080  36040 1043352    0    0     0    42 2271 23581  6  5 89  0  0 2023-12-07 16:40:51
 0  0 7929504 124492  36048 1043300    0    0     0     7 2155 10445  4  3 92  0  0 2023-12-07 16:40:56
 0  0 7929504 128072  36056 1039300    0    0     0     8 2216 24196  5  5 90  0  0 2023-12-07 16:41:01
 0  0 7929504 120244  36064 1044568    0    0    35     8 2156 9767  4  4 91  1  0 2023-12-07 16:41:06
 0  0 7929504 126860  36072 1038608    0    0    18   163 2199 5810  3  3 93  1  0 2023-12-07 16:41:11
 1  0 7929504 123572  36104 1040852    2    0    30    64 2476 17796  6  4 88  2  0 2023-12-07 16:41:16
 0  0 7929780 139544  36176 1035388    0   77     9   143 2388 16027  6  4 88  2  0 2023-12-07 16:41:21
 0  0 7929780 139164  36184 1035360    0    0     0    50 2143 6198  5  3 91  1  0 2023-12-07 16:41:26
 1  0 7929780 139420  36192 1035892    0    0     0     7 2133 5795  4  4 92  0  0 2023-12-07 16:41:31
 0  0 7929780 131972  36200 1042340    0    0    22     7 2238 24054  5  5 89  0  0 2023-12-07 16:41:36
 2  0 7929780 131792  36208 1041160    0    0    37   146 2354 35473  7  7 86  1  0 2023-12-07 16:41:41
 0  0 7929780 131476  36232 1038652    0    0    30    38 2396 56259  8  9 83  1  0 2023-12-07 16:41:46
 4  0 7929780 126012  36240 1043084    0    0    18    31 2411 49100  7  8 84  1  0 2023-12-07 16:41:51
 4  0 7929780 125600  36248 1042396    0    0     0    14 2205 13134  5  4 90  0  0 2023-12-07 16:41:56
 0  0 7929780 126112  36256 1041972    0    0     0    32 2191 6651  6  4 91  0  0 2023-12-07 16:42:01
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7929780 131544  36264 1036784    0    0    19     8 2167 6554  5  3 92  0  0 2023-12-07 16:42:06
 0  1 7929780 126624  36272 1042016    0    0    52   103 2191 6262  5  4 91  1  0 2023-12-07 16:42:11
 1  0 7929780 130676  36304 1037416    0    0     0    83 2252 10893  6  4 90  1  0 2023-12-07 16:42:16
 0  0 7929780 129844  36312 1036936    0    0     0    16 2258 12386  5  4 91  0  0 2023-12-07 16:42:21
 0  0 7929780 129060  36328 1036900    0    0     0    34 2077 5745  4  3 93  0  0 2023-12-07 16:42:26
